                                                   Percentage of Fast-Track Receipts,,,,,,,,,,,,,,,,,
                                                                                For,,,,,,,,,,,,,,,,,
"                     Fiscal Year 2010 (September 26, 2009 through September 24, 2010)1",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% of Fast-Track Receipts,,,,,,,,,,,,
"                                     Fiscal Year 2012 (October 1, 2011 through September 28, 2012)1",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts,,,,,,,,,,,,
Alabama,AL,Atlanta,"3,360","77,834",4.3%,,,,,,,,,,,,
Alaska,AK,Seattle,313,"4,769",6.6%,,,,,,,,,,,,
Arizona,AZ,San Francisco,"3,211","49,427",6.5%,,,,,,,,,,,,
Arkansas5,AR,Dallas,"1,796","47,561",3.8%,,,,,,,,,,,,
California,CA,San Francisco,"16,575","279,408",5.9%,,,,,,,,,,,,
Colorado,CO,Denver,"2,485","35,525",7.0%,,,,,,,,,,,,
Connecticut,CT,Boston,"1,656","26,439",6.3%,,,,,,,,,,,,
Delaware,DE,Philadelphia,537,"8,933",6.0%,,,,,,,,,,,,
District of Columbia,DC,Philadelphia,312,"7,993",3.9%,,,,,,,,,,,,
Florida,FL,Atlanta,"11,827","209,707",5.6%,,,,,,,,,,,,
Georgia,GA,Atlanta,"5,634","104,931",5.4%,,,,,,,,,,,,
Guam,GU,San Francisco,77,993,7.8%,,,,,,,,,,,,
Hawaii,HI,San Francisco,628,"7,735",8.1%,,,,,,,,,,,,
Idaho,ID,Seattle,818,"12,974",6.3%,,,,,,,,,,,,
Illinois,IL,Chicago,"6,796","104,400",6.5%,,,,,,,,,,,,
Indiana,IN,Chicago,"4,360","68,283",6.4%,,,,,,,,,,,,
Iowa,IA,Kansas City,"1,749","22,316",7.8%,,,,,,,,,,,,
Kansas ,KS,Kansas City,"1,089","14,623",7.4%,,,,,,,,,,,,
Kentucky,KY,Atlanta,"2,847","62,991",4.5%,,,,,,,,,,,,
Louisiana,LA,Dallas,"2,706","65,071",4.2%,,,,,,,,,,,,
Maine,ME,Boston,844,"13,844",6.1%,,,,,,,,,,,,
Maryland,MD,Philadelphia,"2,944","57,178",5.1%,,,,,,,,,,,,
Massachusetts,MA,Boston,"3,408","56,268",6.1%,,,,,,,,,,,,
Michigan,MI,Chicago,"6,089","118,282",5.1%,,,,,,,,,,,,
Minnesota,MN,Chicago,"3,064","37,970",8.1%,,,,,,,,,,,,
Mississippi5,MS,Atlanta,"2,053","49,749",4.1%,,,,,,,,,,,,
Missouri,MO ,Kansas City,"4,463","77,367",5.8%,,,,,,,,,,,,
Montana,MT,Denver,457,"7,459",6.1%,,,,,,,,,,,,
Nebraska,NE,Kansas City,"1,043","12,055",8.7%,,,,,,,,,,,,
Nevada,NV,San Francisco,"1,399","20,553",6.8%,,,,,,,,,,,,
New Hampshire,NH,Boston,686,"10,750",6.4%,,,,,,,,,,,,
New Jersey,NJ,New York,"4,721","64,635",7.3%,,,,,,,,,,,,
New Mexico,NM,Dallas,"1,004","19,891",5.0%,,,,,,,,,,,,
New York,NY,New York,"10,452","163,725",6.4%,,,,,,,,,,,,
North Carolina,NC,Atlanta,"6,267","107,901",5.8%,,,,,,,,,,,,
North Dakota,ND,Denver,336,"3,643",9.2%,,,,,,,,,,,,
Ohio,OH,Chicago,"6,866","125,600",5.5%,,,,,,,,,,,,
Oklahoma5,OK,Dallas,"2,212","41,223",5.4%,,,,,,,,,,,,
Oregon,OR,Seattle,"2,069","31,335",6.6%,,,,,,,,,,,,
Pennsylvania,PA,Philadelphia,"7,606","140,658",5.4%,,,,,,,,,,,,
Puerto Rico,PR,New York,595,"23,561",2.5%,,,,,,,,,,,,
Rhode Island,RI,Boston,560,"11,004",5.1%,,,,,,,,,,,,
South Carolina,SC,Atlanta,"3,132","57,291",5.5%,,,,,,,,,,,,
South Dakota,SD,Denver,439,"5,614",7.8%,,,,,,,,,,,,
Tennessee,TN,Atlanta,"4,307","79,820",5.4%,,,,,,,,,,,,
Texas,TX,Dallas,"13,594","232,119",5.9%,,,,,,,,,,,,
Utah,UT,Denver,"1,226","14,057",8.7%,,,,,,,,,,,,
Vermont,VT,Boston,380,"5,229",7.3%,,,,,,,,,,,,
Virgin Islands,VI,New York,29,272,10.7%,,,,,,,,,,,,
Virginia5,VA,Philadelphia,"4,696","65,166",7.2%,,,,,,,,,,,,
Washington,WA,Seattle,"3,279","57,113",5.7%,,,,,,,,,,,,
West Virginia,WV,Philadelphia,"1,263","24,584",5.1%,,,,,,,,,,,,
Wisconsin,WI,Chicago,"3,454","48,459",7.1%,,,,,,,,,,,,
Wyoming,WY,Denver,247,"3,406",7.3%,,,,,,,,,,,,
Federal Sites/Non-State DDS,FD,,96,"3,599",2.7%,,,,,,,,,,,,
National1,,,"174,056","3,003,293",5.8%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
" 1The percentage of fast-track cases represent data for the reporting fiscal year (FY) 2012.  While not always true, we report the same percentage for FY 2012 ",,,,,,,,,,,,,,,,,
"  as we did for September 2012 in our annual performance plan (APP).    In September 2012, the QDD and CAL ""fast-track"" processes identified ",,,,,,,,,,,,,,,,,
"  5.8% of electronically filed disability claims for expedited handling, surpassing the APP goal of 5.5%.",,,,,,,,,,,,,,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,,,,,,,,,,,,,
"  within the fifty states, Guam, US Virgin Islands, and Federal/Non-State sites.",,,,,,,,,,,,,,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,,,,,,,,,,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,,,,,,,,,,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,,,,,,,,,,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,,,,,,,,,,,,,
